STATUS | wrapper  | 2013/06/22 00:02:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/06/22 00:02:54 | Launching a JVM...
INFO   | jvm 1    | 2013/06/22 00:02:59 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/06/22 00:02:59 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/06/22 00:02:59 | 
INFO   | jvm 1    | 2013/06/22 00:02:59 | 
INFO   | jvm 1    | 2013/06/22 00:02:59 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/06/22 00:02:59 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/06/22 00:02:59 |           could not be loaded:
INFO   | jvm 1    | 2013/06/22 00:02:59 |             C:\Eclipse Juno\workspace\fiwb\lib\wrapper\wrapper.dll
INFO   | jvm 1    | 2013/06/22 00:02:59 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2013/06/22 00:02:59 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/06/22 00:02:59 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/06/22 00:02:59 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/06/22 00:02:59 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/06/22 00:02:59 |           Reported cause:
INFO   | jvm 1    | 2013/06/22 00:02:59 |             C:\Eclipse Juno\workspace\fiwb\lib\wrapper\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/06/22 00:02:59 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/06/22 00:02:59 | 
INFO   | jvm 1    | 2013/06/22 00:02:59 |  INFO [serviceMain] (IwbStart.java:96) - Starting Information Workbench
INFO   | jvm 1    | 2013/06/22 00:02:59 |  INFO [serviceMain] (Config.java:249) - loading config file config.prop
INFO   | jvm 1    | 2013/06/22 00:02:59 |  INFO [serviceMain] (I18n.java:124) - Default locale: en_US
INFO   | jvm 1    | 2013/06/22 00:02:59 |  INFO [serviceMain] (I18n.java:127) - Default character set: UTF-8
INFO   | jvm 1    | 2013/06/22 00:02:59 |  INFO [serviceMain] (StartJetty.java:167) - Loading Jetty configuration: C:\Eclipse Juno\workspace\fiwb\etc\jetty.xml
INFO   | jvm 1    | 2013/06/22 00:03:00 |  INFO [serviceMain] (Config.java:249) - loading config file config.prop
INFO   | jvm 1    | 2013/06/22 00:03:00 |  INFO [serviceMain] (IwbServletContextListener.java:46) - Starting up Information Workbench webapp context
INFO   | jvm 1    | 2013/06/22 00:03:00 |  INFO [serviceMain] (RepositoryFactory.java:112) - Repository type set to native
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (AbstractSingleFileBasedSolutionService.java:73) - Installing solution HTMLProvider (version: n/a)
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (ProviderServiceImpl.java:292) - Provider com.fluidops.iwb.provider.HTMLProvider is already registered
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (AbstractSingleFileBasedSolutionService.java:139) - Installed Solution 'C:\Eclipse Juno\workspace\fiwb\.\apps\HTMLProvider.zip', result: Status: INSTALLED_SUCCESSFULLY_RESTART_REQUIRED
INFO   | jvm 1    | 2013/06/22 00:03:01 | com.fluidops.iwb.api.solution.CompositeSolutionHandler@3cbee529: requires a restart
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (APIImpl.java:862) - Service RESTART requested by user guest
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (ParserFunctionsFactory.java:68) - Registering and initializing custom bliki parser functions.
STATUS | wrapper  | 2013/06/22 00:03:01 | JVM requested a restart.
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (RMIBase.java:113) - RMI multi home support: " 88.201.228.240 2002:58c9:e5b5:a:f1ee:5a47:12fa:e092 fec0:0:0:a:f1ee:5a47:12fa:e092%1 2002:58c9:e5b5:a:d494:e1b4:55d8:e4b0 192.168.86.1 192.168.134.1 "
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (DynamicServiceUtil.java:27) - Initializing dynamic services
INFO   | jvm 1    | 2013/06/22 00:03:01 |  INFO [serviceMain] (XSSSafeHttpRequestFilter.java:67) - Registered additional resources to exclude from automatic XSS protection: [/sparql, /search/]
